Years,CO2,CH4,mullingar_mean_temp,mullingar_temp_anomaly,mullingar_mean_rain,mullingar_rain_anomaly,antarctic_temp_anomaly,global_temp_anomaly
-1.0,418.53,1911.83,9.916666666666666,1.1166666666666654,1001.8000000000001,67.50000000000011,0.38,0.91
-2.0,416.41,1895.28,9.866666666666667,1.0666666666666664,980.8,46.5,0.0,0.86
-3.0,414.21,1878.93,9.566666666666666,0.7666666666666657,1078.9,144.60000000000014,0.35,1.01
-4.0,411.65,1866.58,9.541666666666666,0.7416666666666654,1090.6,156.29999999999995,0.34,0.98
-5.0,408.72,1857.33,9.458333333333334,0.6583333333333332,781.6,-152.69999999999993,0.41,0.86
-6.0,406.76,1849.58,9.525,0.7249999999999996,952.9,18.600000000000023,0.33,0.95
-7.0,404.41,1843.12,9.308333333333334,0.5083333333333329,988.3,54.0,0.1,1.03
-8.0,401.01,1834.26,8.916666666666666,0.11666666666666536,1205.1,270.79999999999995,-0.15,0.91
-9.0,398.81,1822.53,9.641666666666667,0.8416666666666668,1203.5,269.20000000000005,0.26,0.76
-10.0,396.74,1813.43,9.183333333333334,0.38333333333333286,963.4,29.100000000000023,0.44,0.68
-11.0,394.06,1808.12,9.158333333333333,0.3583333333333325,1024.2,89.90000000000009,0.14,0.66
-12.0,391.85,1803.14,9.450000000000001,0.6500000000000004,944.0999999999999,9.799999999999955,0.5,0.63
-13.0,390.1,1798.91,8.125,-0.6750000000000007,897.5,-36.799999999999955,0.09,0.73
-14.0,387.64,1793.52,9.174999999999999,0.3749999999999982,1182.4,248.10000000000014,0.36,0.66
-15.0,385.83,1787.01,9.116666666666667,0.31666666666666643,1085.0,150.70000000000005,0.22,0.55
-16.0,384.02,1781.38,9.75,0.9499999999999993,995.0,60.700000000000045,0.64,0.65
-17.0,382.09,1774.94,9.825,1.0249999999999986,1004.5,70.20000000000005,0.26,0.66
-18.0,379.98,1774.16,9.716666666666667,0.9166666666666661,866.6999999999999,-67.60000000000002,0.47,0.7
-19.0,377.7,1777.05,9.533333333333333,0.7333333333333325,953.1,18.800000000000068,-0.1,0.54
-20.0,375.98,1777.33,9.633333333333335,0.8333333333333339,737.7,-196.5999999999999,0.25,0.63
-21.0,373.45,1772.66,9.716666666666667,0.9166666666666661,1212.6,278.29999999999995,0.38,0.62
