year,month,mean_temp,mean_rain
1950,1,5.2,25.8
1950,2,4.9,129.2
1950,3,7.8,45.4
1950,4,6.9,82.6
1950,5,11,25.1
1950,6,14.4,39
1950,7,14.5,126.8
1950,8,13.9,157
1950,9,11.2,140.2
1950,10,9.1,81.9
1950,11,4.6,65.2
1950,12,1.2,74.7
1951,1,3.6,84.8
1951,2,3,62.1
1951,3,4.3,101.2
1951,4,6,52.6
1951,5,9,46.9
1951,6,12.9,59.9
1951,7,14.9,73.2
1951,8,13.4,121.2
1951,9,12.8,96.8
1951,10,10.2,39.9
1951,11,6.9,107.2
1951,12,5,154.7
1952,1,2.1,113.8
1952,2,4.1,21.6
1952,3,6.8,41.9
1952,4,8.9,45
1952,5,12,67.9
1952,6,12.8,52.1
1952,7,15.2,36.3
1952,8,14.7,64
1952,9,10.3,64.4
1952,10,8.9,117.8
1952,11,4.8,83
1952,12,3.8,79.1
1953,1,4.5,47.2
1953,2,5.6,40.9
1953,3,5.8,10.6
1953,4,6.5,47.4
1953,5,12.2,34.7
1953,6,13.6,28.2
1953,7,14.2,131.3
1953,8,14.6,99.1
1953,9,13.4,83.9
1953,10,9.3,73.1
1953,11,7.6,104.1
1953,12,6.7,68.5
1954,1,4,51.9
1954,2,3.8,96.6
1954,3,6,80.3
1954,4,8,31.8
1954,5,10.6,95.6
1954,6,12.1,54.9
1954,7,13,96.6
1954,8,13.2,74.1
1954,9,11,109.2
1954,10,10.7,171
1954,11,5.6,129
1954,12,6.6,122.1
1955,1,2.9,99.8
1955,2,1.7,56.8
1955,3,4.2,43.6
1955,4,9.5,61.7
1955,5,9.3,102
1955,6,12.7,96.1
1955,7,16.4,24.6
1955,8,17,27.6
1955,9,13.4,85.4
1955,10,8.4,44.4
1955,11,7.5,53.3
1955,12,5.6,117.4
1956,1,3.2,88.9
1956,2,1.9,28
1956,3,6.9,56.6
1956,4,7.7,27.2
1956,5,10.9,34
1956,6,12.4,65.6
1956,7,14.4,86.1
1956,8,12.5,162.6
1956,9,12.9,99.8
1956,10,9.3,62.3
1956,11,6.6,43.7
1956,12,6.1,134.6
1957,1,5.1,127.3
1957,2,4.5,59.5
1957,3,9.2,100.2
1957,4,8.3,37.7
1957,5,10.7,48.6
1957,6,13.7,40.6
1957,7,14.9,80
1957,8,14.2,73.4
1957,9,11.8,109.7
1957,10,9.7,139.5
1957,11,6.2,22.2
1957,12,4.9,72.5
1958,1,4.1,109.4
1958,2,5,82
1958,3,4.1,34.1
1958,4,7.7,25.7
1958,5,9.9,86.6
1958,6,12.9,131.9
1958,7,14.6,132.9
1958,8,14.5,127.1
1958,9,14,104.4
1958,10,10.2,74.2
1958,11,7.6,48.5
1958,12,4.3,99.7
1959,1,2.2,60
1959,2,5.8,29.3
1959,3,7,66.7
1959,4,8.2,69.3
1959,5,12.1,20.4
1959,6,14.1,66.5
1959,7,15.4,66.4
1959,8,15.6,19.3
1959,9,14,55.6
1959,10,11.3,143.6
1959,11,6.1,97.2
1959,12,5.2,177.4
1960,1,3.9,96.5
1960,2,3.6,53.2
1960,3,6.5,49.3
1960,4,8.9,72.6
1960,5,12.3,69.4
1960,6,14.9,92.1
1960,7,14.2,157.5
1960,8,14.1,95.6
1960,9,11.8,102.8
1960,10,9.4,103.1
1960,11,6.2,161.8
1960,12,3,102.9
1961,1,3.4,132.5
1961,2,7.3,75.8
1961,3,8.6,13.3
1961,4,9.2,109.8
1961,5,10.8,55.3
1961,6,12.9,56.9
1961,7,13.6,82.5
1961,8,13.9,74.1
1961,9,12.9,115.7
1961,10,9.1,73.5
1961,11,6,58.9
1961,12,2.5,66.1
1962,1,4.2,98.1
1962,2,4.8,63.7
1962,3,3.4,58.9
1962,4,7.7,58.7
1962,5,10,84.2
1962,6,12.3,40.6
1962,7,13.6,55.9
1962,8,13.2,106.2
1962,9,11,177.3
1962,10,10.1,38.8
1962,11,5.6,73.5
1962,12,4.1,112.3
1963,1,-0.7,27.5
1963,2,1.4,33.2
1963,3,6.4,106.1
1963,4,7.8,64
1963,5,9.2,64.8
1963,6,13.5,56.4
1963,7,14,73.5
1963,8,13.5,90.5
1963,9,11.6,67.7
1963,10,10.3,111
1963,11,6.5,137.1
1963,12,3.6,22.9
1964,1,5.1,46.2
1964,2,4.6,46.3
1964,3,5.4,88.7
